term,normalized_term,category
nucleus of lateral olfactory tract,nucleus lateral olfactory tract,anatomy
temporal lobe cortex,temporal lobe cortex,anatomy
falx cerebri,falx cerebro,anatomy
nucleus AM-AV,nucleus av,anatomy
"ventral region, medial zone",ventral region medical zone,anatomy
area 28 of Brodmann (Crosby),area brodmann,anatomy
nucleus eminentiae teretis,nucleus,anatomy
granular retrolimbic area 29,granular area,anatomy
magnopyramidal temporal belt,temporal belt,anatomy
area of Wernicke,area wernicke,anatomy
"Faciali, Nucleus Nervi",nucleus,anatomy
parvocellular preoptic nucleus,parvocellular preoptic nucleus,anatomy
gustatory nucleus,gustatory nucleus,anatomy
"area 8Ad of cortex, anterodorsal part",area cortex anterodorsal part,anatomy
lateral geniculate body,lateral geniculate body,anatomy
Hypophyseal Portal System,hypophyseal portal system,anatomy
adolfactory area,area,anatomy
trigeminal V principal sensory nucleus,trigeminal v principal sensory nucleus,anatomy
area opercularis,area opercularis,anatomy
neural nucleus,neural nucleus,anatomy
Inferior lateral cutaneous nerve of arm,inferior lateral cutaneous nerve arm,anatomy
circle of Willis,circle willis,anatomy
area 23c (macaque),area macaque,anatomy
"Superior, Gyrus Frontalis",superior gyrus frontal,anatomy
plexiform layer of cerebral cortex,plexiform layer cerebral cortex,anatomy
"Nucleus, Linear",nucleus linear,anatomy
area 14 of Mauss-1908,area 14,anatomy
External nasal branch of anterior ethmoidal nerve,external nasal branch anterior nerve,anatomy
"spinal trigeminal nucleus, oral part",spinal trigeminal nucleus oral part,anatomy
posterior transverse temporal gyrus,posterior transverse temporal gyrus,anatomy
"Nucleus Basalis, Olivary",nucleus basalis olivary,anatomy
Cuneate fascicle,cuneate fascicle,anatomy
anterior olfactory nucleus,anterior olfactory nucleus,anatomy
Nucleus proprius of the anterior horn,nucleus anterior horn,anatomy
nigrotectal fibers,fiber,anatomy
supplemental somatosensory areas,supplementary somatosensory areas,anatomy
Caudal Zona Incerta,caudal zona incerta,anatomy
ventral lateral nucleus,ventral lateral nucleus,anatomy
inferior frontal white matter,inferior frontal white matter,anatomy
Supramammillary Commissure,commissure,anatomy
"lobules II, III of vermis",lobule ii iii vermis,anatomy
Nucleus Vestibularis Magnocellularis,nucleus magnocellular,anatomy
"Stalk, Infundibular",stalk infundibular,anatomy
Orbital region,orbital region,anatomy
occipital eye centers,occipital eye center,anatomy
"Ongur, Price, and Ferry (2003) area 47m",ongur price ferry area,anatomy
"calcarine sulcus, anterior part",calcarine sulcus anterior part,anatomy
Mandibular nerve trunk,mandibular nerve trunk,anatomy
marginal sulcus of insula,marginal sulcus insula,anatomy
sexually dimorphic nucleus,sexual dimorphic nucleus,anatomy
nuclei of solitary tract,nuclei solitary tract,anatomy
lateral nucleus of oculomotor nerve,lateral nucleus oculomotor nerve,anatomy
LH Cells,lh cell,anatomy
area 8 gamma of Vogts,area 8 gamma,anatomy
rostral perforated substance,rostral perforated substance,anatomy
mesencephalic duct,mesencephalic duct,anatomy
"Areas, Secondary Motor",area secondary motor,anatomy
perifornical nucleus,perifornical nucleus,anatomy
motor part of the superior colliculus,motor part superior colliculus,anatomy
"Lobule, Cuneate",lobule cuneate,anatomy
metepencephalon reticular formation,reticular formation,anatomy
Rostral Linear Nucleus of Raphe,rostral linear nucleus raphe,anatomy
anterior transverse temporal area 41,anterior transverse temporal area,anatomy
pons of varolius reticular formation,pons reticular formation,anatomy
lobule VIIIA,lobule viiia,anatomy
central lobe,central lobe,anatomy
Craniospinal ganglia,ganglia,anatomy
decussatio pyramidum medullae oblongatae,,anatomy
Precentral Gyrus,precentral gyrus,anatomy
spinal cord segment of fasciculus gracilis,spinal cord segment fasciculus gracilis,anatomy
medial accessory optic tract,medical accessory optic tract,anatomy
Forebrains,forebrain,anatomy
accessory oculomotor nuclei,accessory oculomotor nuclei,anatomy
nucleus of the descending root,nucleus descending root,anatomy
olfactory bulb granule cell layer,olfactory bulb granule cell layer,anatomy
medial lemniscus,medial lemniscus,anatomy
anterior fasciculus proprius,anterior fasciculus,anatomy
visceral area,visceral area,anatomy
central gelatinous substance,central gelatinous substance,anatomy
olfactory sulcus,olfactory sulcus,anatomy
Posterolateral fissure,posterolateral fissure,anatomy
central acoustic tract,central acoustic tract,anatomy
central dorsal nucleus,central dorsal nucleus,anatomy
field CA4 of hippocampal formation,field ca4 hippocampal formation,anatomy
"Gyrus, Fusiform",gyrus fusiform,anatomy
Brachial plexus lower trunk,brachial plexus lower trunk,anatomy
noradrenergic group A7,noradrenergic group a7,anatomy
"Gyri, Posterior Parahippocampal",gyri posterior parahippocampal,anatomy
Neopallium,,anatomy
"Systems, Cerebral Ventricular",system cerebral ventricular,anatomy
Basis Pedunculi,basis,anatomy
"Foreli, Nucleus Campi",nucleus,anatomy
"Lobules, Posterior Paracentral",lobule posterior paracentral,anatomy
cerebellospinal tract,tract,anatomy
somatosensory cortex,somatosensory cortex,anatomy
raphe nuclei (functional),raphe nuclei function,anatomy
gray matter of hindbrain,gray matter hindbrain,anatomy
entorhinal cortex layer 4,entorhinal cortex layer,anatomy
primary fissure,primary fissure,anatomy
posterior nuclei of stria terminalis,posterior nuclei stria terminalis,anatomy
Central tegmental tract,central tegmental tract,anatomy
area 8Av,area,anatomy
Precuneus Cortices,precuneus cortices,anatomy
nucleus sagulum,nucleus,anatomy
thoracic spinal cord gray commissure,thoracic spinal cord gray commissure,anatomy
paranigral nucleus,nucleus,anatomy
dysgranular insula,dysgranular insula,anatomy
mammillary level of hypothalamus,mammillary level hypothalamus,anatomy
transcapsular caudatolenticular gray striae,gray,anatomy
spinal cord anterior horn,spinal cord anterior horn,anatomy
Superficial branch oflateral plantar nerve,superficial branch plantar nerve,anatomy
Accessory obturator nerve,accessory obturator nerve,anatomy
Brodmann (1909) area 33,brodmann area,anatomy
"zona incerta, dopaminergic group",zona incerta dopamine group,anatomy
magnocellular nuclei of the midbrain reticular nucleus,magnocellular nuclei midbrain reticular nucleus,anatomy
region 4,region 4,anatomy
Pars Nervosa of Pituitary,pars nervosa pituitary,anatomy
Lateral Preoptic Areas,lateral preoptic area,anatomy
"Hypothalamus, Nucleus Anterior",hypothalamus nucleus anterior,anatomy
inferior colliculi,inferior colliculus,anatomy
semilunar lobule-1 (posterior),semilunar lobule posterior,anatomy
Hypophyseal Infundibulum,hypophyseal infundibular,anatomy
area 33 of Brodmann-1909,area brodmann,anatomy
Subventricular Zones,subventricular zone,anatomy
oral nuclear group of pulvinar,oral nuclear group pulvinar,anatomy
posterior crus of fornix,posterior crus fornix,anatomy
anterior region of motor thalamus,anterior region motor thalamus,anatomy
ventral posteromedial nucleus of the thalamus,ventral posteromedial nucleus thalamus,anatomy
A8 dopaminergic cell group,a8 dopamine cell group,anatomy
area 11 of Mauss-1908,area 11,anatomy
"nucleus of the solitary tract, dorsomedial part",nucleus solitary tract dorsomedial part,anatomy
"Opticums, Chiasma",chiasm,anatomy
lateral pallidal segment,lateral pallidal segment,anatomy
rhomboidal nucleus,nucleus,anatomy
Extrastriate Cortices,extrastriate cortices,anatomy
gustatory thalamic nucleus,gustatory thalamic nucleus,anatomy
B09-52,,anatomy
area 42 of Brodmann,area brodmann,anatomy
Internal branch of superior laryngeal nerve,internal branch superior laryngeal nerve,anatomy
internal arcuate fibers,internal arcuate fiber,anatomy
septal region (Swanson),septal region swanson,anatomy
body of the caudate nucleus,body caudate nucleus,anatomy
"Parafascicularis, Nucleus",nucleus,anatomy
auditory radiation,auditory radiation,anatomy
area 14r,area,anatomy
hippocampal fimbria,hippocampus fimbria,anatomy
nucleus anterosuperior,nucleus,anatomy
tractus cortico-spinalis,tract cortico,anatomy
Substantia Nigra Compacta,substantia nigra compact,anatomy
endbrain,,anatomy
pontine nuclear complex,pontine nuclear complex,anatomy
"corpus geniculatum externum, nucleus accessorius",corpus nucleus,anatomy
olfactory cortex layer 1,olfactory cortex layer,anatomy
medial nucleus (Amaral),medical nucleus amaral,anatomy
"Thalami, Nucleus Reuniens",thalamo nucleus reuniens,anatomy
area 28 of Brodmann,area brodmann,anatomy
Frontal Eye Field,frontal eye field,anatomy
olfactory area,olfactory area,anatomy
ascending reticular activating system,ascending reticular activating system,anatomy
pedunculopontine nucleus,pedunculopontine nucleus,anatomy
paracochlear glial substance,glial substance,anatomy
decussation of corticospinal tract,decussation corticospinal tract,anatomy
dorsomedial subnucleus of the interpeduncular nucleus,dorsomedial subnucleus interpeduncular nucleus,anatomy
area 8 delta of Vogts,area 8 delta,anatomy
lobule VIII of cerebellum vermis,lobule viii cerebellar vermis,anatomy
occipital pole,occipital pole,anatomy
nodulus (X),x,anatomy
precommissural septum (Crosby),septum,anatomy
Abducens nerve trunk,abducens nerve trunk,anatomy
area 46V,area,anatomy
"Nucleus, Lateral Septal",nucleus lateral septal,anatomy
Nucleus Accumbens,nucleus accumbens,anatomy
"Edinger Westphals, Nucleus",edinger nucleus,anatomy
A14 dopaminergic cell group,dopamine cell group,anatomy
innominate substance,innominata substance,anatomy
"bed nuclei of the stria terminalis, anterior division, fusiform nucleus",bed nuclei stria terminalis anterior division fusiform nucleus,anatomy
nucleus subglomerulosis,nucleus,anatomy
trochlear neural decussation,trochlear neural decussation,anatomy
ventral tier thalamic nuclei,ventral tier thalamic nuclei,anatomy
occipitopolar sulcus,sulcus,anatomy
uncinate fasciculus of cerebellum,uncinate fasciculus cerebellum,anatomy
anterior corpus quadrigeminum,anterior corpus,anatomy
"Piriformis, Cortex",cortex,anatomy
Archistriatums,,anatomy
area spinalis X,area x,anatomy
"central superior nucleus of the raphe, medial part",central superior nucleus raphe medical part,anatomy
parvocellular part of red nucleus,parvocellular part red nucleus,anatomy
capsule of medial geniculate nucleus,capsule medial geniculate nucleus,anatomy
Superior thoracic ganglion,superior thoracic ganglion,anatomy
postcommissural fornix,fornix,anatomy
nucleus centralis medialis thalami,nucleus central medical thalamo,anatomy
"Dorsalis, Nucleus Raphe",dorsal nucleus raphe,anatomy
Accessory Oculomotor Nuclei,accessory oculomotor nuclei,anatomy
motor decussation,motor decussation,anatomy
Ventrobasal Complex,ventrobasal complex,anatomy
macaque orbitomedial cortex by Carmichael,macaque orbitomedial cortex carmichael,anatomy
"supraoptic nucleus, ventromedial part",supraoptic nucleus ventromedial part,anatomy
motor root of trigeminal nerve,motor root trigeminal nerve,anatomy
anterodorsal preoptic nucleus,anterodorsal preoptic nucleus,anatomy
auditory cortex,auditory cortex,anatomy
area p24d,area,anatomy
"lateral septal nucleus, caudal part",lateral septal nucleus caudal part,anatomy
area 45 of Walker,area 45 walker,anatomy
area TE of Seltzer,area te seltzer,anatomy
medial eminence,medical eminence,anatomy
anterodorsal nucleus of medial geniculate complex,anterodorsal nucleus medical geniculate complex,anatomy
midbrain nucleus,midbrain nucleus,anatomy
"thalamus, sensory-motor cortex related",thalamus sensory motor cortex related,anatomy
visceral cortex,visceral cortex,anatomy
periventricular zone of the hypothalamus,periventricular zone hypothalamus,anatomy
paleodentate of dentate nucleus,dentate nucleus,anatomy
rhombencephalic reticular formation,reticular formation,anatomy
segment part of sacral spinal cord,segment part sacral spinal cord,anatomy
posterior nucleus of the hypothalamus,posterior nucleus hypothalamus,anatomy
gelatinous substance of posterior horn of spinal cord,gelatinous substance posterior horn spinal cord,anatomy
bulbar reticular formation,bulbar reticular formation,anatomy
temporal limb of the anterior commissure,temporal limb anterior commissure,anatomy
Mauss's area 12,area 12,anatomy
dorsal gray horn,dorsal gray horn,anatomy
cingulum bundle in cingulate cortex,cingulum bundle cingulate cortex,anatomy
entorhinal white matter,entorhinal white matter,anatomy
Sensorimotor Area,sensorimotor area,anatomy
area 8B,area,anatomy
uncrossed lateral corticospinal tract,uncrossed lateral corticospinal tract,anatomy
frontoparietal operculum,fronto parietal operculum,anatomy
midbrain reticular formation,midbrain reticular formation,anatomy
lateral hypothalamic nucleus,lateral hypothalamus nucleus,anatomy
"Mediales, Corpus Geniculatum",corpus,anatomy
Substantia Corticalis,substantia,anatomy
"Nuclei, Anterior Thalamic",nuclei anterior thalamic,anatomy
precentral gyrus,precentral gyrus,anatomy
Collateral branch of intercostal nerves,collateral branch intercostal nerve,anatomy
Temporal plane,temporal plane,anatomy
posterior marginal sulcus (human),posterior marginal sulcus human,anatomy
secretory circumventricular organs,secretory circumventricular organs,anatomy
Posterior Nucleus of Thalamus,posterior nucleus thalamus,anatomy
inferior white lamina,inferior white laminar,anatomy
"interposed nucleus, main part",interposed nucleus main part,anatomy
"CA1 Region, Hippocampal",ca1 region hippocampus,anatomy
lobule of cerebellar hemisphere,lobule cerebellar hemisphere,anatomy
intermediate periventricular nucleus of the hypothalamus,intermediate periventricular nucleus hypothalamus,anatomy
"Colliculi, Inferior",colliculus inferior,anatomy
superior salivary nucleus,superior salivary nucleus,anatomy
"Strips, Motor",strip motor,anatomy
nucleus subceruleus,nucleus,anatomy
Nucleus parvocellularis compactus,nucleus,anatomy
Dorsal digital nerves of medial dorsal cutaneous nerve,dorsal digital nerve medical dorsal cutaneous nerve,anatomy
area 43 of Brodmann (guenon),area brodmann,anatomy
anterior part of anterior commissure,anterior part anterior commissure,anatomy
"Tectum, Optic",tectum optic,anatomy
Medullary ventral spinocerebellar tract,medulla ventral spinocerebellar tract,anatomy
nucleus basalis,nucleus basalis,anatomy
dorsal visceral gray,dorsal visceral gray,anatomy
Cajal Interstitial Nucleus,cajal interstitial nucleus,anatomy
pyriform area (Crosby),pyriform area,anatomy
internal globus pallidus,internal globus pallidus,anatomy
Fastigial Nucleus,fastigial nucleus,anatomy
corpus geniculatum mediale,corpus,anatomy
fasciola cinereum,,anatomy
nucleus gigantocellularis,nucleus,anatomy
caudal nucleus of the zona incerta,caudal nucleus zona incerta,anatomy
Spinal nerve trunk,spinal nerve trunk,anatomy
Fourth ventricle,fourth ventricle,anatomy
intermediolateral gray horn,intermediate gray horn,anatomy
mesencephalic trigeminal nucleus,mesencephalic trigeminal nucleus,anatomy
area 13 of Walker,area 13 walker,anatomy
area 40 of Brodmann,area brodmann,anatomy
Hindbrain vesicle,hindbrain vesicle,anatomy
Mauss's area 32,area 32,anatomy
Pulvinar Nucleus,pulvinar nucleus,anatomy
central gray substance,central gray substance,anatomy
neuraxis fimbria,neuraxis fimbria,anatomy
"ventral posterolateral nucleus, caudal part",ventral posterolateral nucleus caudal part,anatomy
paramedian group (medullary reticular formation),paramedian group medullary reticular formation,anatomy
intermediolateral gray column,intermediate gray column,anatomy
dorsomedial hypothalamic nucleus,dorsomedial hypothalamus nucleus,anatomy
accessory olfactory bulb,accessory olfactory bulb,anatomy
spinal trigeminal nucleus,spinal trigeminal nucleus,anatomy
ventral intersegmental fasciculus of spinal cord,ventral intersegmental fasciculus spinal cord,anatomy
forceps frontalis,forceps frontal,anatomy
area 30 of Vogt (macaque),area 30 vogt macaque,anatomy
neuraxis paraflocculus,neuraxis,anatomy
gustatory sensory system,gustatory sensory system,anatomy
stratum pyramidale of the CA2 field,stratum pyramidale ca2 field,anatomy
Internal branch of accessory nerve trunk,internal branch accessory nerve trunk,anatomy
Amygdala Deep Nucleus,amygdala deep nucleus,anatomy
"Nucleus, Intercalated Amygdaloid",nucleus intercalated amygdaloid,anatomy
precentral insular sulcus,precentral insula sulcus,anatomy
white substance of pontile tegmentum,white substance tegmentum,anatomy
vallecula cerebelli,cerebellum,anatomy
principal sensory nucleus,principal sensory nucleus,anatomy
posterior part of anterior commissure,posterior part anterior commissure,anatomy
medullary pyramid,medulla pyramidal,anatomy
subparaventricular zone of the hypothalamus,zone hypothalamus,anatomy
C4 segment,c4 segment,anatomy
amiculum of dentate nucleus,dentate nucleus,anatomy
"nucleus ventralis posterior lateralis, pars oralis",nucleus ventral posterior lateral pars oralis,anatomy
lateral line sensory nucleus,lateral line sensory nucleus,anatomy
"lateral geniculate complex, dorsal part",lateral geniculate complex dorsal part,anatomy
Nucleus centralis intermedialis,nucleus central,anatomy
Substantia Nigra Pars Compacta,substantia nigra pars compacta,anatomy
fornix body,fornix body,anatomy
retrobulbar nucleus [a8],nucleus a8,anatomy
nucleus of the posterior commissure (Kölliker),nucleus posterior commissure,anatomy
"Nuclei, Posterior Thalamic",nuclei posterior thalamic,anatomy
caudal postcentral area,caudal postcentral area,anatomy
"Angle, Cerebellopontine",angle cerebellum,anatomy
External Capsule,external capsule,anatomy
gray matter of neuraxis,gray matter neuraxis,anatomy
hippocampus,hippocampus,anatomy
posteromedial visual area,posteromedial visual area,anatomy
anterolateral white column,anterolateral white column,anatomy
"Nuclei, Lateral Thalamic",nuclei lateral thalamic,anatomy
Mesencephalic Central Gray,mesencephalic central gray,anatomy
parietotemporo-occipitopontine tract,tract,anatomy
rubrospinal tract of the midbrain,rubrospinal tract midbrain,anatomy
Brodmann area 39,brodmann area,anatomy
intermediate part of the tuberal nucleus,intermediate part nucleus,anatomy
pontine reticular nucleus,pontine reticular nucleus,anatomy
"Endopeduncularis, Nucleus",nucleus,anatomy
lateral intersegmental fasciculus of spinal cord,lateral intersegmental fasciculus spinal cord,anatomy
layer 1 of piriform cortex,layer piriform cortex,anatomy
parafornical nucleus,nucleus,anatomy
perirhinal area,perirhinal area,anatomy
dorsal anterior cingulate area 32,dorsal anterior cingulate area,anatomy
dorsolateral oculomotor nucleus,dorsolateral oculomotor nucleus,anatomy
Brodmann (1909) area 4,brodmann area,anatomy
central gray of the spinal cord,central gray spinal cord,anatomy
hippocampus fimbria,hippocampus fimbria,anatomy
amygdaloid nuclear groups,amygdaloid nuclear group,anatomy
posterior longitudinal fasciculus of midbrain,posterior longitudinal fasciculus midbrain,anatomy
neuropil,neuropil,anatomy
Goll's nucleus,nucleus,anatomy
nucleus of the horizontal limb of the diagonal band (Price-Powell),nucleus horizontal limb diagonal band price powell,anatomy
dorsal premammillary nucleus,dorsal nucleus,anatomy
Parietal operculum,parietal operculum,anatomy
area 42 of Brodmann,area brodmann,anatomy
floorplate of mature diencephalon,mature diencephalon,anatomy
rostral area 14,rostral area 14,anatomy
Regio Superior of Hippocampus,region superior hippocampus,anatomy
medulla fasciculus of Schutz,medulla fasciculus,anatomy
nuclei lemnisci lateralis,nuclei lateral,anatomy
caudate nucleus,caudate nucleus,anatomy
medial lemniscus of the midbrain,medial lemniscus midbrain,anatomy
suprachiasmatic preoptic nucleus,suprachiasmatic preoptic nucleus,anatomy
prepositus nucleus,nucleus,anatomy
midbrain floor plate,midbrain floor plate,anatomy
lateral reticular nucleus proper,lateral reticular nucleus proper,anatomy
orbital gyri complex,orbital gyri complex,anatomy
"superior central nucleus, medial part",superior central nucleus medical part,anatomy
goose's foot,goose foot,anatomy
Dorsal Raphe,dorsal raphe,anatomy
"Area, Medial Preoptic",area medical preoptic,anatomy
basal operculum,basal operculum,anatomy
praegeniculatum,,anatomy
minor root of trigeminal nerve,minor root trigeminal nerve,anatomy
Nerve to medial rectus,nerve medical rectus,anatomy
"superior central nucleus raphe, medial part",superior central nucleus raphe medical part,anatomy
Medial forebrain bundle,medial forebrain bundle,anatomy
fusiform nucleus of stria terminalis,fusiform nucleus stria terminalis,anatomy
area prostriata,area,anatomy
Oculomotor nerve central root,oculomotor nerve central root,anatomy
area 8,area 8,anatomy
zona layer of the superior colliculus,zona layer superior colliculus,anatomy
ectorhinal,,anatomy
ambient gyrus,ambient gyrus,anatomy
anterior median eminence,anterior median eminence,anatomy
ventro-caudal cluster,ventro caudal cluster,anatomy
dorsal paramedian nucleus,dorsal paramedian nucleus,anatomy
Pituitary TSH-Producing Cells,pituitary tsh producing cell,anatomy
lingual white matter,lingual white matter,anatomy
anterior ascending limb of lateral fissure,anterior ascending limb lateral fissure,anatomy
zone b-c of the retrosplenial granular area,zone retrosplenial granular area,anatomy
middle cerebellar peduncle,middle cerebellar peduncle,anatomy
stratum pyramidale of the CA3 field,stratum pyramidale ca3 field,anatomy
decussation of superior cerebellar peduncles,decussation superior cerebellar peduncle,anatomy
caudal part of the lateral septal nucleus,caudal part lateral septal nucleus,anatomy
parabigeminal nucleus,nucleus,anatomy
Diagonal Band Nucleus,diagonal band nucleus,anatomy
Tympanic membrane branch of external acoustic meatus nerves,tympanic membrane branch external acoustic meatus nerve,anatomy
"Medianum, Centrum",centrum,anatomy
area v23a,area,anatomy
Ophthalmic plexus,ophthalmic plexus,anatomy
posterolateral sulcus,posterolateral sulcus,anatomy
medial part of ventral lateral nucleus,medical part ventral lateral nucleus,anatomy
eighth thoracic spinal cord segment,eighth thoracic spinal cord segment,anatomy
area 46 of Brodmann-1909,area 46 brodmann,anatomy
paravermic lobule vii,lobule vii,anatomy
orbital and medial prefrontal cortex,orbital medial prefrontal cortex,anatomy
superior cistern,superior cistern,anatomy
horns of the lateral ventricle,horn lateral ventricle,anatomy
bed nucleus of the accessory olfactory tract,bed nucleus accessory olfactory tract,anatomy
"ongur, price, and ferry (2003) area prco",ongur price ferry area,anatomy
Intercostal nerves,intercostal nerve,anatomy
Obturator nerve,obturator nerve,anatomy
perirhinal cortex of primate of Burwell et al 1995,perirhinal cortex primate et al,anatomy
Dorsal root central part,dorsal root central part,anatomy
Brain,brain,anatomy
ventral nucleus of stria terminalis,ventral nucleus stria terminalis,anatomy
Lumbar plexus,lumbar plexus,anatomy
"Optic Lobes, Mammalian",optic lobe mammalian,anatomy
Interventricular foramen,interventricular foramen,anatomy
anterior thalamus,anterior thalamus,anatomy
dorsal longitudinal fasciculus of hypothalamus,dorsal longitudinal fasciculus hypothalamus,anatomy
alar central lobule,central lobule,anatomy
heterotypical formations,formation,anatomy
ventrolateral part of the ventromedial nucleus of the hypothalamus,ventrolateral part ventromedial nucleus hypothalamus,anatomy
inferior central nucleus (of roller),inferior central nucleus roller,anatomy
ventrolateral hypothalamic nucleus,ventrolateral hypothalamus nucleus,anatomy
Nucleus Lateralis Posterior,nucleus lateral posterior,anatomy
ROLE,role,anatomy
preparietal area,area,anatomy
"nucleus medialis dorsalis, pars parvicellularis",nucleus medical dorsal pars,anatomy
layer of cerebellar cortex,layer cerebellar cortex,anatomy
stria medullaris (Wenzel-Wenzel),stria medulla,anatomy
metencephalon,,anatomy
ventral anterior nucleus,ventral anterior nucleus,anatomy
medial lemniscus of midbrain,medial lemniscus midbrain,anatomy
dorsal claustrum,dorsal claustrum,anatomy
Commissura Hippocampi,hippocampus,anatomy
layers of the subiculum,layer subiculum,anatomy
cytoarchitectural part of dentate gyrus,cytoarchitecture part dentate gyrus,anatomy
solitary nucleus,solitary nucleus,anatomy
hippocampus molecular layer,hippocampus molecular layer,anatomy
general visceral afferents,general visceral afferent,anatomy
Lateral Nucleus of Amygdala,lateral nucleus amygdala,anatomy
isthmus of brainstem,isthmus brainstem,anatomy
Lateral cutaneous nerve of calf,lateral cutaneous nerve calf,anatomy
uncus of parahippocampal gyrus,uncus parahippocampal gyrus,anatomy
anterior thalamic nuclei,anterior thalamic nuclei,anatomy
Posterior auricular nerve,posterior auricular nerve,anatomy
stem of the lateral sulcus,stem lateral sulcus,anatomy
"Nuclei, Intracerebellar",nuclei,anatomy
marginal branch of cingulate sulcus,marginal branch cingulate sulcus,anatomy
"retrosplenial area, ventral part",retrosplenial area ventral part,anatomy
trigeminal nerve root,trigeminal nerve root,anatomy
orbital prefrontal cortex,orbital prefrontal cortex,anatomy
preopticohypothalamic tract,tract,anatomy
gracile fascicle of medulla,gracile fascicle medulla,anatomy
spinal cord column,spinal cord column,anatomy
area retrosplenialis agranularis,area,anatomy
bed nucleus of anterior commissure,bed nucleus anterior commissure,anatomy
inferior vestibular nucleus,inferior vestibular nucleus,anatomy
lateral intersegmental tract of spinal cord,lateral intersegmental tract spinal cord,anatomy
branchiomotor nucleus of facial nerve,nucleus facial nerve,anatomy
Spinal central gray,spinal central gray,anatomy
Lateral cutaneous nerve of thigh,lateral cutaneous nerve thigh,anatomy
pineal gland stalk,pineal gland stalk,anatomy
Hypothalamo Hypophyseal System,hypothalamus hypophyseal system,anatomy
inferior central nucleus of the pontine reticular formation,inferior central nucleus pontine reticular formation,anatomy
nucleus of fasciculus solitarius,nucleus fasciculus solitarius,anatomy
area 14 of Carmichael,area 14 carmichael,anatomy
"globus pallidus, lateral part",globus pallidus lateral part,anatomy
conus,conus,anatomy
Brodmann's area 39,brodmann area,anatomy
Sacral nerves,sacral nerve,anatomy
"Vestibular Nucleus, Lateral",vestibular nucleus lateral,anatomy
anterodorsal nucleus of medial geniculate complex,anterodorsal nucleus medical geniculate complex,anatomy
Cornu Ammonis 4 Area,cornu ammonis area,anatomy
parvicellular division of the accessory basal nucleus,parvocellular division accessory basal nucleus,anatomy
preparietal area 5,area 5,anatomy
chief sensory nucleus,chief sensory nucleus,anatomy
Brodmann's area 14,brodmann area,anatomy
Brodmann area 28,brodmann area,anatomy
electrosensory lateral line lobe,lateral line lobe,anatomy
ascending fibers,ascending fibers,anatomy
anterior nucleus of thalamus,anterior nucleus thalamus,anatomy
nuclei anteriores (thalami),nuclei thalamo,anatomy
posterolateral fissure,posterolateral fissure,anatomy
periventricular pretectum,periventricular pretectum,anatomy
Inferior temporal gyrus,inferior temporal gyrus,anatomy
opercular portion of inferior frontal gyrus,opercularis portion inferior frontal gyrus,anatomy
"bed nuclei stria terminalis, anterior division, rhomboid nucleus",bed nuclei stria terminalis anterior division rhomboid nucleus,anatomy
Parafascicular Nucleus Of The Thalamus,parafascicular nucleus thalamus,anatomy
zona incerta,zona incerta,anatomy
