normalized_term,category
attention task,
attentional bias,psychology
attentional biases,psychology
attentional blink,psychology
attentional control,
attentional effort,psychology
attentional focusing,psychology
attentional resources,psychology
attentional state,psychology
attitude,psychology
attractiveness,
attribution,
atypical,disease
au,
audiovisual,
audition,psychology
auditory,disease
auditory area,anatomy
auditory association cortex,anatomy
auditory attention,psychology
auditory cortex,anatomy
auditory feedback,psychology
auditory hallucination,disease
auditory imagery,psychology
auditory learning,psychology
auditory localization,psychology
auditory memory,psychology
auditory nerve,anatomy
auditory perception,psychology
auditory recognition,psychology
auditory region,anatomy
auditory scene,psychology
auditory scene analysis,psychology
auditory sensitivity,psychology
auditory sentence comprehension,psychology
auditory spatial processing,psychology
auditory stimuli,
auditory stream segregation,psychology
auditory threshold,psychology
auditory visual,
auditory word recognition,psychology
auditory working memory,psychology
aura,disease
auricular,
autism,psychology
autism spectrum,
autism spectrum disorder,psychology
autistic,
autistic disorder,disease
autobiographical,
autobiographical memories,psychology
autobiographical memory,psychology
autobiographical recall,psychology
autoimmune,
automaticity,psychology
autonoetic,
autonoetic consciousness,psychology
autonomic,disease
autonomic nervous system,anatomy
autosomal,
av,
availability,
average,
aversion,
aversive,
aversive learning,psychology
aves,
avian,
avm,
avoid,
avoidance,
avoidance behavior,psychology
avoidance learning,psychology
avulsion,
awakening,
awareness,psychology
axial,
axillary,
axis,anatomy
axon,
axonal,
axonal tract,anatomy
b1,
b2,
b3,
b4,
b5,
b6,
b7,
b8,
b9,
ba,
ba 44,
ba1,anatomy
ba17,anatomy
ba18,anatomy
ba21,anatomy
ba24,anatomy
ba3,anatomy
ba31,anatomy
ba37,anatomy
ba38,anatomy
ba39,anatomy
ba41,anatomy
ba44,anatomy
ba45,anatomy
ba46,anatomy
ba47,anatomy
ba5,anatomy
ba6,anatomy
baby,
back,
backward,
bacterial,
bailey,
balance,psychology
baltic,
band,anatomy
banging,
bar,
barnes,
barr,
barrel,
barrel cortex,anatomy
barrel field,anatomy
barrier,
barrington,
basal,
basal forebrain,anatomy
basal ganglia,anatomy
basal ganglia circuit,anatomy
basal ganglion,anatomy
basal lamina,anatomy
basal nuclei,anatomy
basal nucleus,anatomy
basalis,
based,
baseline,
basic,
basilar,
basis,anatomy
basolateral,anatomy
basolateral amygdala,anatomy
basolateral nucleus amygdala,anatomy
basomedial,
battle,
baum,
baxter,
beauty,psychology
becker,
bed,
bed nucleus stria terminalis,anatomy
behavior,psychology
behavior animal,psychology
behavior approach,psychology
behavior disorders,psychology
behavior risk,psychology
behavior social,psychology
behavior spatial,psychology
behavioral activity,psychology
behavioral inhibition,psychology
behavioral measures,
behavioral performance,
behavioral problems,psychology
behavioral responses,
behavioral symptoms,psychology
belief,psychology
bell,
belt,anatomy
benign,
bereavement,psychology
berman,
bernard,
berry,
bertrand,
beta,
betz,
bia,
bias,
biased,
biased attention,psychology
biases,
bicarbonate,
biceps,
bicommissural,
bielschowsky,
bifida,
bilateral,disease
bile,
bilinguals,
bind,
binding,
binge,
binge drinking,psychology
binge eating disorder,psychology
binocular,
binocular disparity,psychology
binocular rivalry,psychology
binocular vision,psychology
biofeedback,psychology
biological,
biomarker,
biotin,
bipolar,
bipolar depression,psychology
bipolar disorder,disease
birth,
birth first,psychology
birth order,psychology
bisphosphate,
bitemporal,disease
biting,
bitter,
bitterness,psychology
bl,anatomy
bladder,
blade,
blind,
blindness,disease
blindsight,psychology
blink,
blood,
blood brain barrier,anatomy
blow,
blowing,
blue,
blunt,psychology
bnst,
bodies,anatomy
bodily,
body,anatomy
body corpus callosum,anatomy
body dysmorphic disorder,psychology
body image,disease
body language,psychology
body orientation,psychology
body representation,psychology
body schema,psychology
bond,
bonding,
bone,
bone conduction,psychology
bonnet,
border,
borderline,psychology
borderline personality disorder,psychology
boredom,psychology
borne,
bottle,
botulinum,
bovine,
bovine spongiform encephalopathy,disease
braak,
brachial,disease
brachial plexus,anatomy
brachium,anatomy
bradykinesia,disease
braille,
brain,anatomy
brain cancer,disease
brain death,disease
brain gray matter,anatomy
brain grey matter,anatomy
brain infarction,disease
brain injuries,disease
brain injury,disease
brain ischemia,disease
brain olfactory,anatomy
brain part,anatomy
brain reserve,psychology
brain trauma,disease
brain tumor,disease
brain white matter,anatomy
brainstem,anatomy
brainstem nucleus,anatomy
brainstem reticular formation,anatomy
brainwave,psychology
branch,
breakthrough,
breast,psychology
breastfeeding,psychology
breath,
breathing,
brewer,
bridges,
brief,
british,
broad,
broadened,
broadly,
broca,
broca area,anatomy
broca region,anatomy
brodmann,
brodmann area,anatomy
brodmann area 10,anatomy
brodmann area 17,anatomy
brodmann area 18,anatomy
brodmann area 22,anatomy
brodmann area 24,anatomy
brodmann area 32,anatomy
brodmann area 4,anatomy
brodmann area 40,anatomy
brodmann area 44,anatomy
brodmann area 45,anatomy
brodmann area 46,anatomy
brodmann area 47,anatomy
brodmann area 6,anatomy
brodmann area 7,anatomy
brodmann area 8,anatomy
brodmann area 9,anatomy
bronze,
brother,psychology
brown,
bs,
bse,
buccal,
bucy,
buffer,
bulb,anatomy
bulbar,disease
bulbospinal,disease
bulimia,
bulimia nervosa,psychology
bullying,psychology
bundle,anatomy
burden,
burn,
burning,
burning pain,psychology
burnout,
butler,
button,
c1,
c2,
c3,
c4,
c5,
c6,
c7,
c8,
ca,
ca fields,anatomy
ca1,anatomy
ca1 field,anatomy
ca1 pyramidal cell layer,anatomy
ca1 stratum radiatum,anatomy
ca1 subfield,anatomy
ca2,anatomy
ca3,anatomy
ca4,anatomy
cajal,
calbindin,
calcarine,
calcarine cortex,anatomy
calcarine fissure,anatomy
calcarine sulcus,anatomy
calcification,
calculation,
calf,
callosal,
callosum,
callous,
campus,anatomy
canal,
cancer,
cancer brain,disease
cannabis,
cannabis abuse,psychology
cannabis dependence,psychology
cannibalism,psychology
canthomeatal,
cap,anatomy
capacity,
capacity limitation,psychology
capillary,
capsular,anatomy
capsule,
capture,
carbamoyl,
carcinoma,
card,
cardiac,psychology
cardiogenic,disease
cardiomyopathy,
care,
career,
caring,psychology
carmichael,
carotid,disease
carotid atherosclerosis,disease
carpal,
carpal tunnel syndrome,disease
carpenter,anatomy
carrier,
case,
cash,
castration,psychology
catalepsy,disease
cataplexy,disease
catastrophizing,psychology
catatonic,disease
catecholamine,
categorical perception,psychology
categories,psychology
category,
category learning,psychology
cauda equina,anatomy
caudal,anatomy
caudal acc,anatomy
caudal anterior cingulate cortex,anatomy
caudate,
caudate nucleus,anatomy
caudate putamen,anatomy
caudatus,anatomy
caudomedial,
causal,
causal inference,psychology
cave,disease
cavernous,
cavity,
cavum,
cecum,
celiac,
cell,anatomy
cell disease,disease
cell group,anatomy
celled,
center,anatomy
central,anatomy
central amygdala,anatomy
central canal,anatomy
central coherence,psychology
central executive,psychology
central gray,anatomy
central nervous system,anatomy
central nervous system infection,disease
central nuclei,anatomy
central nucleus,anatomy
central nucleus amygdala,anatomy
central sulcus,anatomy
centro,
centromedian,
centroparietal,
centrotemporal,
centrum,anatomy
centrum semiovale,anatomy
cephalic,
cerebellar ataxia,disease
cerebellar cortex,anatomy
cerebellar gray matter,anatomy
cerebellar grey matter,anatomy
cerebellar hemisphere,anatomy
cerebellar nuclei,anatomy
cerebellar peduncle,anatomy
cerebellar tonsil,anatomy
cerebellar vermis,anatomy
cerebellar white matter,anatomy
cerebellopontine angle,anatomy
cerebellum,anatomy
cerebellum anterior lobe,anatomy
cerebellum lobule,anatomy
cerebellum posterior lobe,anatomy
cerebral,anatomy
cerebral aneurysm,disease
cerebral aqueduct,anatomy
cerebral cortex,anatomy
cerebral cortices,anatomy
cerebral dominance,psychology
cerebral edema,disease
cerebral gray matter,anatomy
cerebral hemisphere,anatomy
cerebral hemorrhage,disease
cerebral infarction,disease
cerebral ischemia,disease
cerebral lobes,anatomy
cerebral peduncle,anatomy
cerebral ventricle,anatomy
cerebral white matter,anatomy
cerebro,anatomy
cerebrospinal,disease
cerebrospinal fluid,anatomy
cerebrovascular,
cerebrovascular accident,disease
cerebrum,anatomy
ceroid,
certainty,
cerveau,anatomy
cervical,disease
cervical dystonia,disease
cervical segments,anatomy
cervical spinal cord,anatomy
cervico,
cessation,
chaining,
change,
change blindness,psychology
channel,
characteristic,psychology
characteristics human,psychology
charcot,
charcot marie tooth disease,disease
charles,
chat,
checkerboard,
chemical,
chemoreceptor,
chemotaxis,psychology
chewing,
chiari,
chiasm,anatomy
chief,
child,psychology
child behavior,psychology
child development,psychology
child language,psychology
childbearing,
childhood,disease
childhood absence epilepsy,disease
childhood onset schizophrenia,psychology
children,psychology
children adult,psychology
chinese,
choice,
choice behavior,psychology
cholesterol,disease
choose,
chord,
chorea,disease
choroid,
choroid plexus,anatomy
chosen,
chromatic,
chromatic contrast,psychology
chromosome,
chronic,
chronic fatigue syndrome,disease
chronic headache,disease
chronic pain,
chunk,psychology
chunking,psychology
ci,
cigar,
cigarette,
cigarette smoking,psychology
ciliary,
cinerea,anatomy
cingulate,
cingulate anterior,anatomy
cingulate area,anatomy
cingulate cortex,anatomy
cingulate cortex anterior,anatomy
cingulate cortex posterior,anatomy
cingulate cortices,
cingulate gyrus,anatomy
cingulate gyrus anterior,anatomy
cingulate posterior,anatomy
cingulate region,anatomy
cingulate sulcus,anatomy
cingulum,anatomy
cingulum bundle,anatomy
circadian,
circadian rhythm,psychology
circle,
circle willis,anatomy
circuit,
circular,
circulation,
circumscribed,
circumventricular,
circumventricular organs,anatomy
cirrhosis,
cistern,anatomy
cisterna magna,anatomy
cjd,
claim,
clark,
clasp,
classical,disease
classical conditioning,psychology
claude,
claustrophobia,psychology
claustrum,anatomy
clear,
cleft,disease
clicking,
clicks,
client,
climbing,
clinical,
clips,
clock,
clonic,
clonic seizures,disease
closed,
closed head injury,disease
clostridium,
closure,
club,
cluster,anatomy
cma,anatomy
cmd,disease
cmt,
cns,
co,
coa,
coarse,
cobblestone,disease
cocaine,
cocaine abuse,psychology
cocaine addiction,psychology
cocaine dependence,psychology
cochlear,disease
cochlear nerve,anatomy
cochlear nuclei,anatomy
cochlear nucleus,anatomy
cod,
code,
coding,
coeruleus,
cognition,psychology
cognitive,psychology
cognitive control,psychology
cognitive decline,psychology
cognitive deficits,
cognitive development,psychology
cognitive dissonance,psychology
cognitive dysfunction,psychology
cognitive effort,psychology
cognitive emotional,
cognitive function,psychology
cognitive impairment,psychology
cognitive load,psychology
cognitive map,psychology
cognitive performance,
cognitive processes,psychology
cognitive reserve,psychology
cognitive state,psychology
cognitive symptom,psychology
cognitive task,
cognitive training,psychology
coherence,
cold,
colic,
collar,
collateral,
collateral sulcus,anatomy
collection,psychology
college,
colliculus,anatomy
colloid,
color,disease
color blindness,disease
color perception,psychology
color vision,psychology
column,anatomy
coma,disease
comatose,
comb,
combat,psychology
combined,
comma,
command,
commissure,anatomy
common,
communication,psychology
communication disorders,disease
compact,
comparison,
compartment,anatomy
compassion,psychology
compensate,
competence,psychology
competing,psychology
complaint,
complaints,
complete,
completion,
complex,anatomy
complex partial seizure,disease
complex regional pain syndrome,disease
compliance,
compliance treatment,psychology
component,
compound,
comprehension,psychology
compression,
compulsive,
compulsive behavior,psychology
computation,
computer,
concentration,disease
concept,psychology
concept formation,psychology
concept self,psychology
conceptual priming,psychology
concrete,
concurrent,
concussion,
condensation,
condition,psychology
conduct,
conduct disorder,psychology
conduction aphasia,disease
conductive hearing loss,disease
cone,
confidence,
confidence judgment,psychology
conflict,psychology
conflict detection,psychology
conflict resolution,psychology
conformity,
confounding,
confusion,disease
congenital,disease
congruent,
congruent incongruent,
conjugate,
conjunction,
conjunction search,psychology
connectivity,anatomy
connotation,psychology
conscience,psychology
conscious,psychology
consecutive,
consensus,psychology
consideration,psychology
consistency,
consolidation,psychology
consolidation memory,psychology
consonant,
constant,disease
constituent,
constraints,
construction,disease
consumer,
consummatory,
consummatory behavior,psychology
consumption,
consumption alcohol,psychology
contacting,
containing,
context,psychology
context dependent,psychology
context memory,psychology
context representation,psychology
contingency,
contingency learning,psychology
continuous,disease
contour,
contraceptive,
contractures,
contralateral,
contrast,
contrast sensitivity,psychology
contre,
contribution,
control,
control network,
control processes,
control self,psychology
control task,
contusion,
conus,anatomy
convergence,
conversational speech,psychology
conversion,disease
conversion disorder,psychology
convexity,
convolution,anatomy
convulsion,disease
convulsions,disease
convulsive seizures,disease
cooperative,
cooperative behavior,psychology
coordination,psychology
coping,
coping behavior,psychology
coping skills,psychology
copper,
copula,anatomy
copulation,psychology
cord,anatomy
core,
corneal,
cornu,anatomy
cornu ammonis,anatomy
corona radiata,anatomy
coronal,
coronal plane,anatomy
coronal section,anatomy
coronary,
corpora,anatomy
corpus,anatomy
corpus callosum,anatomy
corpus callosum genu,anatomy
corpus striatum,anatomy
correct,
cortex,anatomy
cortex acc,
cortex amygdala,
cortex anterior,
cortex anterior cingulate,anatomy
cortex auditory,anatomy
cortex ba,
cortex bilaterally,
cortex cerebellum,anatomy
cortex cingulate,anatomy
cortex dlpfc,
cortex dmpfc,
cortex dorsal,
cortex dorsolateral prefrontal,anatomy
cortex frontal,anatomy
cortex hippocampus,
cortex inferior,
cortex insula,anatomy
cortex involved,
cortex lateral,anatomy
cortex m1,
cortex medial,
cortex middle,
cortex motor,anatomy
cortex occipital,anatomy
cortex ofc,
cortex orbitofrontal,anatomy
cortex parietal,anatomy
cortex pcc,
cortex pfc,
cortex posterior,
cortex posterior cingulate,anatomy
cortex posterior parietal,anatomy
cortex precuneus,anatomy
cortex prefrontal,anatomy
cortex premotor,anatomy
cortex suggest,
cortex superior,
cortex supplementary,
cortex temporal,anatomy
cortex thalamus,
cortex ventral,
cortex visual,anatomy
cortical,anatomy
cortical amygdala,anatomy
cortical association areas,anatomy
cortical blindness,disease
cortical dysplasia,disease
cortical layer,anatomy
cortical layer iv,anatomy
cortical layer v,anatomy
cortical maps,anatomy
cortical plate,anatomy
cortical white matter,anatomy
cortices,anatomy
cortices anterior cingulate,anatomy
cortices frontal,anatomy
cortices parietal,anatomy
cortices precuneus,anatomy
cortices temporal,anatomy
cortico,
corticobulbar,
corticofugal,
corticopontine,
corticospinal,
corticospinal fibers,anatomy
corticospinal tract,anatomy
corticothalamic,
cough,
count,
counting,
coup,
coupled,psychology
courage,psychology
courtship,psychology
covert,
covert attention,psychology
cow,
crack,
cramp,
cranial,disease
cranial cavity,anatomy
cranial nerve palsies,disease
cranial nerves,anatomy
craniofacial,
cranium,disease
craving,psychology
creative,
creative cognition,psychology
creative thinking,psychology
creativity,psychology
crest,
creutzfeldt,
creutzfeldt jakob disease,psychology
cri,
criminal,
criminal behavior,psychology
crises,
crisis,
critchley,
critical,
critical period,psychology
criticism,
cross,
cross modal,psychology
crossed,disease
crossing,
crosstalk,psychology
crow,
crowding,psychology
crps,
crus,anatomy
crus fornix,anatomy
crushing,
crying,psychology
cryptogenic,
crystallized,
crystallized intelligence,psychology
cs,
csf,disease
cubital,
cue,psychology
cue validity,psychology
cued,
cueing,psychology
cues,psychology
culmen,anatomy
cuneate,anatomy
cuneiform,
cuneus,anatomy
curiosity,psychology
curious,
currently,
curriculum,
curvature,
cutaneous,
cycle,
cyclothymic,
cyst,disease
cystathionine,
cystic,
cytoarchitecture,
cytoplasmic,
cytotoxic,
da,
dacc,
dai,
daily,
daily life,
damage,
dance,
dancing,
dandy,
danger,
dangerous,
dao,anatomy
darkness,
daughter,psychology
day,
daylight,
daytime,
de,
deaf,
deafferentation,
deafness,disease
death,psychology
death brain,disease
decay,
deception,psychology
decerebrate,disease
decision,psychology
decision making,psychology
decision task,
decision uncertainty,psychology
declarative,
declarative knowledge,psychology
declarative memory,psychology
decline,
decline cognitive,psychology
declive,anatomy
decoding,
decreased,
decussation,anatomy
deductive,
deductive reasoning,psychology
deep,
deep cerebellar nuclei,anatomy
deep processing,psychology
default,
default mode,
default network,
defect,disease
defense,
defense mechanisms,psychology
deferred,
defiant,
deficit,disease
deficits memory,disease
defined,
definition,
deformed,
deformity,
degeneration,disease
dehydrogenase,
dejerine,
delay,
delay discounting,psychology
delayed,
delayed memory,psychology
deletion,
deliberate,psychology
deliberate self harm,psychology
delirium,disease
delta,anatomy
delusion,psychology
delusional disorder,psychology
delusions,psychology
demand,
demanding,
dementia,psychology
dementia alzheimer,disease
dementia alzheimer type,disease
dementia praecox,psychology
dementia vascular,psychology
demography,
demyelinating disease,disease
demyelinating disorders,disease
demyelination,disease
denial,psychology
denny,
density,
dental,
dentate,
dentate gyrus,anatomy
dentate nucleus,anatomy
dentist,
dependence alcohol,psychology
dependent,psychology
depersonalization,psychology
depression,psychology
depression bipolar,psychology
depression emotional,psychology
depressive disorder,disease
depressive symptom,psychology
depressive syndrome,psychology
deprivation,
depth,
depth perception,psychology
der,
derealization,psychology
dermal,
descending,
descending fibers,anatomy
desirability,
desired,psychology
destructive,
detected,
detection,psychology
detection task,
deterioration,
detrusor,
deux,psychology
development,disease
development child,psychology
development human,psychology
development infant,psychology
development language,psychology
developmental coordination disorder,psychology
developmental disabilities,psychology
developmental dyscalculia,disease
developmental dyslexia,psychology
developmental prosopagnosia,disease
developmental stuttering,disease
deviation,
dg,
diabetes,
diabetic,disease
diabetic neuropathy,disease
diagnosed,
diagnosis,
diagnosis psychiatric,psychology
diagonal,
diagonal band,anatomy
diagonal band broca,anatomy
diaphragm,
diencephalon,anatomy
diet,
dietary,
dietary habits,psychology
difference,psychology
difference threshold,psychology
differences individual,psychology
difficult,
diffuse,disease
diffuse axonal injury,disease
digestive,
digit,
digital,
digitorum,
dilated,
dimensional,
diminished,
dimorphic,
diplegia,
diplopia,disease
direct,
disability,
disagreement,
disc,
discipline,
disclosure,psychology
discounting,
discourse,psychology
discourse comprehension,psychology
discourse processing,psychology
discrimination,psychology
discrimination function,psychology
discrimination learning,psychology
discrimination speech,psychology
discrimination task,
disease,disease
disease ad,
disease pd,
disgust,
disinhibition,
disk,disease
disorder,disease
disorder adhd,
disorder bipolar,psychology
disorder mdd,
disorder mental,psychology
disorders anxiety,psychology
disorders attention deficit hyperactivity,psychology
disorders major depressive,psychology
disorders mood,psychology
disorders obsessive compulsive,psychology
disorders psychotic,psychology
disorganized,psychology
disorientation,disease
disparity,
dispersal,
displacement,psychology
dispositions,psychology
disproportion,
dispute,psychology
disruptive,
disruptive behavior,psychology
dissection,
disseminated,
dissociation,disease
dissociative disorders,psychology
dissonance,
distal,
distance,
distance perception,psychology
distorted,
distortion,
distractor,psychology
distribution,
district,anatomy
disturbance,
disuse,
diurnal,
divergent,
divergent thinking,psychology
diverticulum,anatomy
divided,
divided attention,psychology
division,anatomy
divorced,psychology
dlpfc,
dmn,
dmpfc,
doctor,
domain,anatomy
domain general,
domain specificity,psychology
domestic,
dominant,psychology
dopamine,
dopaminergic nuclei,anatomy
dorsal,anatomy
dorsal anterior,
dorsal attention,
dorsal cochlear nucleus,anatomy
dorsal column,anatomy
dorsal horn,anatomy
dorsal horn spinal cord,anatomy
dorsal lateral geniculate nucleus,anatomy
dorsal medial,
dorsal motor nucleus,anatomy
dorsal posterior cingulate cortex,anatomy
dorsal premotor,
dorsal premotor cortex,anatomy
dorsal raphe,anatomy
dorsal raphe nucleus,anatomy
dorsal root,anatomy
dorsal striatum,anatomy
dorsal telencephalon,anatomy
dorsal thalamus,anatomy
dorsal ventral,
dorso,
dorsocaudal,
dorsolateral,
dorsolateral pfc,
dorsolateral prefrontal,
dorsolateral prefrontal cortex,anatomy
dorsolateral prefrontal cortices,anatomy
dorsomedial,
dorsomedial nucleus,anatomy
dorsomedial prefrontal,
dots,
double,
double vision,disease
dougherty,
downs,
drainage,
draw,
drawing,psychology
dream,psychology
dressing,disease
drink,
drinking,psychology
drinking alcohol,psychology
drinking behavior,psychology
driven,psychology
driving,psychology
driving influence,psychology
drop,
dropout,
drowsiness,psychology
drug,psychology
drug abuse,psychology
drug addiction,psychology
drug dependence,psychology
drug seeking behavior,psychology
drug use disorders,psychology
drunk,
dry,
ds,
du,
dual,
duchenne,
duchenne muscular dystrophy,disease
duck,
duct,
due,
duffy,
duplication,
dura,anatomy
dura mater,anatomy
duration,
dust,
dutch,
duties,
duty,psychology
duvernoy,
dwarf,disease
dwarfism,
dynamic,
dysarthria,disease
dysautonomia,disease
dyscalculia,disease
dysesthesia,disease
dysfunction,psychology
dysfunction cognitive,psychology
dysgenesis,
dysgranular,
dysgraphia,disease
dyskinesia,disease
dyslexia,disease
dysmetria,disease
