pmid,title,pubmed_url
12507945,Practice and Difficulty Evoke Anatomically and Pharmacologically Dissociable Brain Activation Dynamics,https://www.ncbi.nlm.nih.gov/pubmed/12507945
12615645,Age-related changes in the neural correlates of motor performance,https://www.ncbi.nlm.nih.gov/pubmed/12615645
12682281,Neural mechanisms of empathy in humans: A relay from neural systems for imitation to limbic areas,https://www.ncbi.nlm.nih.gov/pubmed/12682281
12764063,Neural correlates of outcome after stroke: a cross-sectional fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/12764063
12773617,Competition and representation during memory retrieval: Roles of the  prefrontal cortex and the posterior parietal cortex,https://www.ncbi.nlm.nih.gov/pubmed/12773617
12789013,Dissociating Cortical Regions Activated by Semantic and Phonological Tasks: A fMRI Study in Blind and Sighted People,https://www.ncbi.nlm.nih.gov/pubmed/12789013
12828789,Top-down and bottom-up modulation of language related areas – An fMRI Study,https://www.ncbi.nlm.nih.gov/pubmed/12828789
12880834,Orbitofrontal cortex dysfunction in abstinent cocaine abusers performing a decision-making task,https://www.ncbi.nlm.nih.gov/pubmed/12880834
12880846,Cognitive reserve modulates functional brain responses during memory tasks: a PET study in healthy young and elderly subjects,https://www.ncbi.nlm.nih.gov/pubmed/12880846
12880911,Brain networks for analyzing eye gaze,https://www.ncbi.nlm.nih.gov/pubmed/12880911
14568509,Putting names to faces: Successful encoding of associative memories activates the anterior hippocampal formation,https://www.ncbi.nlm.nih.gov/pubmed/14568509
14688411,Functional brain abnormalities in young adults at genetic risk for late-onset Alzheimer's dementia,https://www.ncbi.nlm.nih.gov/pubmed/14688411
14704214,Functional Neuroanatomy of Spatial Orientation Processing in Turner Syndrome,https://www.ncbi.nlm.nih.gov/pubmed/14704214
14715131,The Neural Basis of Hyperlexic Reading,https://www.ncbi.nlm.nih.gov/pubmed/14715131
14980564,Subcortical pathways serving cortical language sites: initial experience with diffusion tensor imaging fiber tracking combined with intraoperative language mapping,https://www.ncbi.nlm.nih.gov/pubmed/14980564
14981255,Two routes to emotional memory: Distinct neural processes for valence and arousal,https://www.ncbi.nlm.nih.gov/pubmed/14981255
14993603,Frontostriatal deficits in fragile X syndrome: Relation to FMR1 gene expression,https://www.ncbi.nlm.nih.gov/pubmed/14993603
15054060,The Role of the Lateral Frontal Cortex in Causal Associative Learning: Exploring Preventative and Super-learning,https://www.ncbi.nlm.nih.gov/pubmed/15054060
15064407,The change of the brain activation patterns as children learn algebra equation solving,https://www.ncbi.nlm.nih.gov/pubmed/15064407
15210939,A fluorescence resonance energy transfer-derived structure of a quantum dot-protein bioconjugate nanoassembly,https://www.ncbi.nlm.nih.gov/pubmed/15210939
15312809,Mothers' neural activation in response to pictures of their children and other children,https://www.ncbi.nlm.nih.gov/pubmed/15312809
15325350,Covariance PET patterns in early Alzheimer's disease and subjects with cognitive impairment but no dementia: utility in group discrimination and correlations with functional performance,https://www.ncbi.nlm.nih.gov/pubmed/15325350
15325368,White matter hemisphere asymmetries in healthy subjects and in schizophrenia: a diffusion tensor MRI study,https://www.ncbi.nlm.nih.gov/pubmed/15325368
15325385,Ankle dorsiflexion as an fMRI paradigm to assay motor control for walking during rehabilitation,https://www.ncbi.nlm.nih.gov/pubmed/15325385
15336514,Abnormal activity patterns in premotor cortex during sequence learning in autistic patients,https://www.ncbi.nlm.nih.gov/pubmed/15336514
15342430,A Distributed Left Hemisphere Network Active During Planning of Everyday Tool Use Skills,https://www.ncbi.nlm.nih.gov/pubmed/15342430
15380297,Evidence for a dysfunctional retrosplenial cortex in patients with schizophrenia: a functional magnetic resonance imaging study with a semantic—perceptual contrast,https://www.ncbi.nlm.nih.gov/pubmed/15380297
15449356,Cortical Activity to Vibrotactile Stimulation: An fMRI Study in Blind and Sighted Individuals,https://www.ncbi.nlm.nih.gov/pubmed/15449356
15450788,Functional differences among those high and low on a trait measure of psychopathy,https://www.ncbi.nlm.nih.gov/pubmed/15450788
15453976,Development of Brain Mechanisms for Processing Orthographic and Phonologic Representations,https://www.ncbi.nlm.nih.gov/pubmed/15453976
15469927,Left insula activation: A marker for language attainment in bilinguals,https://www.ncbi.nlm.nih.gov/pubmed/15469927
15476683,Voxel-based morphometry of patients with schizophrenia or bipolar disorder and their unaffected relatives,https://www.ncbi.nlm.nih.gov/pubmed/15476683
15476690,Effect of methylphenidate on executive functioning in adults with attention-deficit/hyperactivity disorder: Normalization of behavior but not related brain activity,https://www.ncbi.nlm.nih.gov/pubmed/15476690
15476691,Experience-dependent plasticity for attention to threat: Behavioral and neurophysiological evidence in humans,https://www.ncbi.nlm.nih.gov/pubmed/15476691
15488301,Neural correlates of internally-generated disgust via autobiographical recall: a functional magnetic resonance imaging investigation,https://www.ncbi.nlm.nih.gov/pubmed/15488301
15488397,Real-time neural activity and connectivity in healthy individuals and schizophrenia patients,https://www.ncbi.nlm.nih.gov/pubmed/15488397
15488398,For better or for worse: neural systems supporting the cognitive down- and up-regulation of negative emotion,https://www.ncbi.nlm.nih.gov/pubmed/15488398
15488400,"More workload on the central executive of working memory, less attention capture by novel visual distractors: evidence from an fMRI study",https://www.ncbi.nlm.nih.gov/pubmed/15488400
15488401,Visual search and memory search engage extensive overlapping cerebral cortices: an fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15488401
15488402,Neural networks underlying endogenous and exogenous visual–spatial orienting,https://www.ncbi.nlm.nih.gov/pubmed/15488402
15488419,Cerebral regions and hemispheric specialization for processing spatial frequencies during natural scene recognition. An event-related fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15488419
15488423,Contrasting metabolic impairment in frontotemporal degeneration and early onset Alzheimer's disease,https://www.ncbi.nlm.nih.gov/pubmed/15488423
15488424,The neural bases of cooperation and competition: an fMRI investigation,https://www.ncbi.nlm.nih.gov/pubmed/15488424
15488900,Neural mechanisms involved in the detection of our first name: a combined ERPs and PET study,https://www.ncbi.nlm.nih.gov/pubmed/15488900
15488907,Category-related activation for written words in the posterior fusiform is task specific,https://www.ncbi.nlm.nih.gov/pubmed/15488907
15488911,An fMRI study of imitation: action representation and body schema,https://www.ncbi.nlm.nih.gov/pubmed/15488911
15489009,Evidence of early neurobiological alternations in adolescents with posttraumatic stress disorder: a functional MRI study,https://www.ncbi.nlm.nih.gov/pubmed/15489009
15489267,Default brain functionality in blind people,https://www.ncbi.nlm.nih.gov/pubmed/15489267
15494184,Cognitive modulation of pain-related brain responses depends on behavioral strategy,https://www.ncbi.nlm.nih.gov/pubmed/15494184
15501593,Neural basis of emotional self-regulation in childhood,https://www.ncbi.nlm.nih.gov/pubmed/15501593
15506871,"An fMRI Study of Episodic Memory: Retrieval of Object, Spatial, and Temporal Information",https://www.ncbi.nlm.nih.gov/pubmed/15506871
15511653,The influence of working memory load on phase specific patterns of cortical activity,https://www.ncbi.nlm.nih.gov/pubmed/15511653
15511655,Neural foundations of emerging route knowledge in complex spatial environments,https://www.ncbi.nlm.nih.gov/pubmed/15511655
15518931,Prefrontal and hippocampal contributions to visual associative recognition: Interactions between cognitive control and episodic retrieval,https://www.ncbi.nlm.nih.gov/pubmed/15518931
15518940,Errors without conflict: Implications for performance monitoring theories of anterior cingulate cortex,https://www.ncbi.nlm.nih.gov/pubmed/15518940
15519761,Movement preparation in self-initiated versus externally triggered movements: an event-related fMRI-study,https://www.ncbi.nlm.nih.gov/pubmed/15519761
15522244,Structural neural networks subserving oculomotor function in first-episode schizophrenia,https://www.ncbi.nlm.nih.gov/pubmed/15522244
15522765,The effect of 30% oxygen on visuospatial performance and brain activation: An fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15522765
15528079,Prediction error for free monetary reward in the human prefrontal cortex,https://www.ncbi.nlm.nih.gov/pubmed/15528079
15528081,Mapping IQ and gray matter density in healthy young people,https://www.ncbi.nlm.nih.gov/pubmed/15528081
15528083,A longitudinal fMRI study: in recovering and then in clinically stable sub-cortical stroke patients,https://www.ncbi.nlm.nih.gov/pubmed/15528083
15528084,Is voice processing species-specific in human auditory cortex? An fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15528084
15528085,Short-term modulation of regional excitability and blood flow in human motor cortex following rapid-rate transcranial magnetic stimulation,https://www.ncbi.nlm.nih.gov/pubmed/15528085
15528086,Comparison of standard and optimized voxel-based morphometry for analysis of brain changes associated with temporal lobe epilepsy,https://www.ncbi.nlm.nih.gov/pubmed/15528086
15528087,Hippocampal gray matter reduction associates with memory deficits in adolescents with history of prematurity,https://www.ncbi.nlm.nih.gov/pubmed/15528087
15528088,Implicit and explicit processing of kanji and kana words and non-words studied with fMRI,https://www.ncbi.nlm.nih.gov/pubmed/15528088
15528090,Distinct representations for facial identity and changeable aspects of faces in the human temporal lobe,https://www.ncbi.nlm.nih.gov/pubmed/15528090
15528091,Abnormal brain activity in prefrontal brain regions in abstinent marijuana users,https://www.ncbi.nlm.nih.gov/pubmed/15528091
15528097,Brain activation associated with evaluative processes of guilt and embarrassment: an fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15528097
15528098,Semantic processing of Chinese in left inferior prefrontal cortex studied with reversible words,https://www.ncbi.nlm.nih.gov/pubmed/15528098
15528101,Interference resolution in spatial working memory,https://www.ncbi.nlm.nih.gov/pubmed/15528101
15528104,Differential cingulate and caudate activation following unexpected nonrewarding stimuli,https://www.ncbi.nlm.nih.gov/pubmed/15528104
15528110,Brain mechanisms for preparing increasingly complex sensory to motor transformations,https://www.ncbi.nlm.nih.gov/pubmed/15528110
15528113,Multistable representation of speech forms: a functional MRI study of verbal transformations,https://www.ncbi.nlm.nih.gov/pubmed/15528113
15528114,How does the brain accommodate to increased task difficulty in word finding?,https://www.ncbi.nlm.nih.gov/pubmed/15528114
15528118,Spatial and temporal dissociation in prefrontal cortex during action execution,https://www.ncbi.nlm.nih.gov/pubmed/15528118
15528119,"Automatized clustering and functional geometry of human parietofrontal networks for language, space, and number",https://www.ncbi.nlm.nih.gov/pubmed/15528119
15528121,Functional topography of the secondary somatosensory cortex for nonpainful and painful stimulation of median and tibial nerve: an fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15528121
15537672,On the Benefits of not Trying: Brain Activity and Connectivity Reflecting the Interactions of Explicit and Implicit Sequence Learning,https://www.ncbi.nlm.nih.gov/pubmed/15537672
15537676,Ketamine Disrupts Frontal and Hippocampal Contribution to Encoding and Retrieval of Episodic Memory: An fMRI Study,https://www.ncbi.nlm.nih.gov/pubmed/15537676
15542241,Brain activation to phobia-related words in phobic subjects,https://www.ncbi.nlm.nih.gov/pubmed/15542241
15546700,Differences of cerebral activation between superior and inferior learners during motor sequence encoding and retrieval,https://www.ncbi.nlm.nih.gov/pubmed/15546700
15548329,Elevated responses to constant facial emotions in different faces in the human amygdala: an fMRI study of facial identity and expression,https://www.ncbi.nlm.nih.gov/pubmed/15548329
15560968,NMDA hypofunction in the posterior cingulate as a model for schizophrenia: an exploratory ketamine administration study in fMRI,https://www.ncbi.nlm.nih.gov/pubmed/15560968
15561504,Changing patterns of brain activation during category learning revealed by functional MRI,https://www.ncbi.nlm.nih.gov/pubmed/15561504
15567485,Dominance of the left oblique view in activating the cortical network for face recognition,https://www.ncbi.nlm.nih.gov/pubmed/15567485
15570155,BOLD-fMRI signal increases with age in selected brain regions in children,https://www.ncbi.nlm.nih.gov/pubmed/15570155
15582114,Disruption of learned irrelevance in acute schizophrenia in a novel continuous within-subject paradigm suitable for fMRI,https://www.ncbi.nlm.nih.gov/pubmed/15582114
15588593,Neural correlates of switching from auditory to speech perception,https://www.ncbi.nlm.nih.gov/pubmed/15588593
15588595,Effect of bilingualism on cognitive control in the Simon task: evidence from MEG,https://www.ncbi.nlm.nih.gov/pubmed/15588595
15588601,Cerebral perfusion changes in mesial temporal lobe epilepsy: SPM analysis of ictal and interictal SPECT,https://www.ncbi.nlm.nih.gov/pubmed/15588601
15588605,Cortical mechanisms of visual self-recognition,https://www.ncbi.nlm.nih.gov/pubmed/15588605
15588608,An fMRI study of the role of suprapontine brain structures in the voluntary voiding control induced by pelvic floor contraction,https://www.ncbi.nlm.nih.gov/pubmed/15588608
15588609,Functional connectivity during Stroop task performance,https://www.ncbi.nlm.nih.gov/pubmed/15588609
15588614,Functional topography of working memory for face or voice identity,https://www.ncbi.nlm.nih.gov/pubmed/15588614
15588615,A direct brainstem–amygdala–cortical ‘alarm’ system for subliminal signals of fear,https://www.ncbi.nlm.nih.gov/pubmed/15588615
15588617,Functional activity related to risk anticipation during performance of the Iowa gambling task,https://www.ncbi.nlm.nih.gov/pubmed/15588617
15589089,Neuronal correlates of consistency and frequency effects on Chinese character naming: an event-related fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15589089
15589091,Distinct unimodal and multimodal regions for word processing in the left temporal cortex,https://www.ncbi.nlm.nih.gov/pubmed/15589091
15589092,Functional imaging of gustatory perception and imagery: “top-down” processing of gustatory signals,https://www.ncbi.nlm.nih.gov/pubmed/15589092
15589094,Brain activation in processing temporal sequence: an fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15589094
15589099,Temporal lobe activations of “feeling-of-knowing” induced by face-name associations,https://www.ncbi.nlm.nih.gov/pubmed/15589099
15589101,"Visuospatial attention: how to measure effects of infrequent, unattended events in a blocked stimulus design",https://www.ncbi.nlm.nih.gov/pubmed/15589101
15589103,To act or not to act. Neural correlates of executive control of learned motor behavior,https://www.ncbi.nlm.nih.gov/pubmed/15589103
15589105,Practice-induced changes of brain function during visual attention: a parametric fMRI study at 4 Tesla,https://www.ncbi.nlm.nih.gov/pubmed/15589105
15589108,Does egocentric mental rotation elicit sex differences?,https://www.ncbi.nlm.nih.gov/pubmed/15589108
15589109,Challenging the cholinergic system in mild cognitive impairment: a pharmacological fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15589109
15589110,Characterizing spatial and temporal features of autobiographical memory retrieval networks: a partial least squares approach,https://www.ncbi.nlm.nih.gov/pubmed/15589110
15589112,Images of desire: food-craving activation during fMRI,https://www.ncbi.nlm.nih.gov/pubmed/15589112
15589185,Brain potentials related to self-generated and external information used for performance monitoring,https://www.ncbi.nlm.nih.gov/pubmed/15589185
15598546,Anterior cingulate dysfunction during choice anticipation in schizophrenia,https://www.ncbi.nlm.nih.gov/pubmed/15598546
15598550,Hemispheric asymmetries of hypometabolism associated with semantic memory impairment in Alzheimer's disease: a study using positron emission tomography with fluorodeoxyglucose-F18,https://www.ncbi.nlm.nih.gov/pubmed/15598550
15601518,Left inferior prefrontal cortex activity reflects inhibitory rather than facilitatory priming,https://www.ncbi.nlm.nih.gov/pubmed/15601518
15601601,Effect of task conditions on brain responses to threatening faces in social phobics: An event-related functional magnetic resonance imaging study,https://www.ncbi.nlm.nih.gov/pubmed/15601601
15601602,Resting Neural Activity Distinguishes Subgroups of Schizophrenia Patients,https://www.ncbi.nlm.nih.gov/pubmed/15601602
15601603,Cortical effects of quetiapine in first-episode schizophrenia: A preliminary functional magnetic resonance imaging study,https://www.ncbi.nlm.nih.gov/pubmed/15601603
15607294,Abnormal neural responses to emotional visual stimuli in adolescents with conduct disorder,https://www.ncbi.nlm.nih.gov/pubmed/15607294
15619544,Neural mechanisms of Korean word reading: a functional magnetic resonance imaging study,https://www.ncbi.nlm.nih.gov/pubmed/15619544
15627575,Influence of fMRI smoothing procedures on replicability of fine scale motor localization,https://www.ncbi.nlm.nih.gov/pubmed/15627575
15627576,Cerebrocerebellar networks during articulatory rehearsal and verbal working memory tasks,https://www.ncbi.nlm.nih.gov/pubmed/15627576
15627580,The neural basis for novel semantic categorization,https://www.ncbi.nlm.nih.gov/pubmed/15627580
15627585,Sensory experience of food and obesity: a positron emission tomography study of the brain regions affected by tasting a liquid meal after a prolonged fast,https://www.ncbi.nlm.nih.gov/pubmed/15627585
15627586,"Reading, hearing, and the planum temporale",https://www.ncbi.nlm.nih.gov/pubmed/15627586
15627587,Structural white matter deficits in high-functioning individuals with autistic spectrum disorder: a voxel-based investigation,https://www.ncbi.nlm.nih.gov/pubmed/15627587
15627588,Load- and practice-dependent increases in cerebro-cerebellar activation in verbal working memory: an fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15627588
15627589,Distinct and shared cortical regions of the human brain activated by pictorial depictions versus verbal descriptions: an fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15627589
15627591,Dysfunctional action monitoring hyperactivates frontal–striatal circuits in obsessive–compulsive disorder: an event-related fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15627591
15627596,The neural correlates and functional integration of cognitive control in a Stroop task,https://www.ncbi.nlm.nih.gov/pubmed/15627596
15627601,A face to remember: emotional expression modulates prefrontal activity during memory formation,https://www.ncbi.nlm.nih.gov/pubmed/15627601
15627602,The influence of sex differences and individual task performance on brain activation during planning,https://www.ncbi.nlm.nih.gov/pubmed/15627602
15639170,Structural encoding and recognition of biological motion: evidence from event-related potentials and source analysis,https://www.ncbi.nlm.nih.gov/pubmed/15639170
15652297,Cortical response to subjectively unconscious danger,https://www.ncbi.nlm.nih.gov/pubmed/15652297
15652298,Linking semantic priming effect in functional MRI and event-related potentials,https://www.ncbi.nlm.nih.gov/pubmed/15652298
15652303,Automatic analysis of cerebral asymmetry: an exploratory study of the relationship between brain torque and planum temporale asymmetry,https://www.ncbi.nlm.nih.gov/pubmed/15652303
15652305,Neural correlates of conscious perception in the attentional blink,https://www.ncbi.nlm.nih.gov/pubmed/15652305
15652307,Cerebral activation using a MR-compatible piezoelectric actuator with adjustable vibration frequencies and in vivo wave propagation control,https://www.ncbi.nlm.nih.gov/pubmed/15652307
15652310,Activity in the human brain predicting differential heart rate responses to emotional facial expressions,https://www.ncbi.nlm.nih.gov/pubmed/15652310
15652312,How do we perceive the pain of others? A window into the neural processes involved in empathy,https://www.ncbi.nlm.nih.gov/pubmed/15652312
15652314,Functional neuroimaging of odor imagery,https://www.ncbi.nlm.nih.gov/pubmed/15652314
15652316,Functional connectivity in an fMRI working memory task in high-functioning autism,https://www.ncbi.nlm.nih.gov/pubmed/15652316
15652318,The neural correlates of spatial language in English and American Sign Language: a PET study with hearing bilinguals,https://www.ncbi.nlm.nih.gov/pubmed/15652318
15652321,An fMRI study of reward-related probability learning,https://www.ncbi.nlm.nih.gov/pubmed/15652321
15652322,Identification of the neural sources of the pattern-reversal VEP,https://www.ncbi.nlm.nih.gov/pubmed/15652322
15652323,Influence of bodily harm on neural correlates of semantic and moral decision-making,https://www.ncbi.nlm.nih.gov/pubmed/15652323
15653293,Neural organization for recognition of grammatical and emotional facial expressions in deaf ASL signers and hearing nonsigners,https://www.ncbi.nlm.nih.gov/pubmed/15653293
15661114,Resting SPECT-neuropsychology correlation in very mild Alzheimer's disease,https://www.ncbi.nlm.nih.gov/pubmed/15661114
15661452,SUNCT: bilateral hypothalamic activation during headache attacks and resolving of symptoms after trigeminal decompression,https://www.ncbi.nlm.nih.gov/pubmed/15661452
15664796,Gray matter abnormalities in paranoid schizophrenia and their clinical correlations,https://www.ncbi.nlm.nih.gov/pubmed/15664796
15670670,Cerebral mechanisms of prosodic integration: evidence from connected speech,https://www.ncbi.nlm.nih.gov/pubmed/15670670
15670680,Involvement of right piriform cortex in olfactory familiarity judgments,https://www.ncbi.nlm.nih.gov/pubmed/15670680
15670682,Analysis of the spectral envelope of sounds by the human brain,https://www.ncbi.nlm.nih.gov/pubmed/15670682
15670683,Dissociating neural correlates for nouns and verbs,https://www.ncbi.nlm.nih.gov/pubmed/15670683
15670688,Dorsolateral prefrontal cortex involvement in memory post-retrieval monitoring revealed in both item and associative recognition tests,https://www.ncbi.nlm.nih.gov/pubmed/15670688
15670690,Graded recall success: an event-related fMRI comparison of tip of the tongue and feeling of knowing,https://www.ncbi.nlm.nih.gov/pubmed/15670690
15670692,Seeing John Malkovich: the neural substrates of person categorization,https://www.ncbi.nlm.nih.gov/pubmed/15670692
15670693,Changes in brain activation associated with use of a memory strategy: a functional MRI study,https://www.ncbi.nlm.nih.gov/pubmed/15670693
15670698,No ɛ4gene dose effect on hippocampal atrophy in a large MRI database of healthy elderly subjects,https://www.ncbi.nlm.nih.gov/pubmed/15670698
15670699,View-independent coding of face identity in frontal and temporal cortices is modulated by familiarity: an event-related fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15670699
15670702,Bilateral thalamic gray matter changes in patients with restless legs syndrome,https://www.ncbi.nlm.nih.gov/pubmed/15670702
15670705,Yearning to yawn: the neural basis of contagious yawning,https://www.ncbi.nlm.nih.gov/pubmed/15670705
15681032,Information processing of geometrical features of a surface based on binocular disparity cues: an fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15681032
15691520,A differential pattern of neural response toward sad versus happy facial expressions in major depressive disorder,https://www.ncbi.nlm.nih.gov/pubmed/15691520
15691522,Bupropion and venlafaxine responders differ in pretreatment regional cerebral metabolism in unipolar depression,https://www.ncbi.nlm.nih.gov/pubmed/15691522
15691530,Error-related hyperactivity of the anterior cingulate cortex in obsessive-compulsive disorder,https://www.ncbi.nlm.nih.gov/pubmed/15691530
15694331,Reward-Related fMRI Activation of Dopaminergic Midbrain Is Associated with Enhanced Hippocampus- Dependent Long-Term Memory Formation,https://www.ncbi.nlm.nih.gov/pubmed/15694331
15707610,Gray matter alteration in dyslexia: converging evidence from volumetric and voxel-by-voxel MRI analyses,https://www.ncbi.nlm.nih.gov/pubmed/15707610
15707612,Advance preparation and stimulus-induced interference in cued task switching: further insights from BOLD fMRI,https://www.ncbi.nlm.nih.gov/pubmed/15707612
15707614,fMRI activation of the fusiform gyrus and amygdala to cartoon characters but not to faces in a boy with autism,https://www.ncbi.nlm.nih.gov/pubmed/15707614
15707797,Occipital–parietal interactions during shifts of exogenous visuospatial attention: trial-dependent changes of effective connectivity,https://www.ncbi.nlm.nih.gov/pubmed/15707797
15707905,The brain basis of piano performance,https://www.ncbi.nlm.nih.gov/pubmed/15707905
15708643,The neurophysiological time pattern of illusionary visual perceptual transitions: a simultaneous EEG and fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15708643
15716157,The neural origins of specific and general memory: the role of the fusiform cortex,https://www.ncbi.nlm.nih.gov/pubmed/15716157
15716164,Internally generated and directly cued task sets: an investigation with fMRI,https://www.ncbi.nlm.nih.gov/pubmed/15716164
15721179,"Co-activation of the amygdala, hippocampus and inferior frontal gyrus during autobiographical memory retrieval",https://www.ncbi.nlm.nih.gov/pubmed/15721179
15721182,Medial temporal lobe activity for recognition of recent and remote famous names: an event-related fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/15721182
15721186,"Contributions of occipital, parietal and parahippocampal cortex to encoding of object-location associations",https://www.ncbi.nlm.nih.gov/pubmed/15721186
15721187,Neural correlates of symbolic and non-symbolic arithmetic,https://www.ncbi.nlm.nih.gov/pubmed/15721187
15721193,Overt sentence production in event-related fMRI,https://www.ncbi.nlm.nih.gov/pubmed/15721193
15721247,Activation in Posterior Superior Temporal Sulcus Parallels Parameter Inducing the Percept of Animacy,https://www.ncbi.nlm.nih.gov/pubmed/15721247
15721961,Effects of noun–verb homonymy on the neural correlates of naming concrete entities and actions,https://www.ncbi.nlm.nih.gov/pubmed/15721961
15721963,Lexical retrieval constrained by sound structure: The role of the left inferior frontal gyrus,https://www.ncbi.nlm.nih.gov/pubmed/15721963
15721964,Modulation of brain activity during phonological familiarization,https://www.ncbi.nlm.nih.gov/pubmed/15721964
15721998,The effect of working memory performance on functional MRI in schizophrenia,https://www.ncbi.nlm.nih.gov/pubmed/15721998
15722208,Learning-related fMRI activation associated with a rotational visuo-motor transformation,https://www.ncbi.nlm.nih.gov/pubmed/15722208
15722209,The sensorimotor transformation of cross-modal spatial information in the anterior intraparietal sulcus as revealed by functional MRI,https://www.ncbi.nlm.nih.gov/pubmed/15722209
15722210,The neural substrate of arithmetic operations and procedure complexity,https://www.ncbi.nlm.nih.gov/pubmed/15722210
15722212,The interfering effect of related events on recognition memory discriminability: a functional magnetic resonance imaging study,https://www.ncbi.nlm.nih.gov/pubmed/15722212
15722215,Neural representations of graspable objects: are tools special?,https://www.ncbi.nlm.nih.gov/pubmed/15722215
15728742,Selecting Among Competing Alternatives: Selection and Retrieval in the Left Inferior Frontal Gyrus,https://www.ncbi.nlm.nih.gov/pubmed/15728742
15728761,Distinct Roles for Lateral and Medial Anterior Prefrontal Cortex in Contextual Recollection,https://www.ncbi.nlm.nih.gov/pubmed/15728761
15733635,Brain processing during mechanical hyperalgesia in complex regional pain syndrome: a functional MRI study,https://www.ncbi.nlm.nih.gov/pubmed/15733635
15733792,A comparison of Gamma and Gaussian dynamic convolution models of the fMRI BOLD response,https://www.ncbi.nlm.nih.gov/pubmed/15733792
